id,complaint_text,intended_urgency,intended_emotion,scenario,style,profile,history
3465,"I cannot believe I’m dealing with this right now! I’ve repeatedly tried to resolve my issues with poor network coverage, and still I've had no satisfactory response. I spoke to a representative named Mark last week, who claimed a follow-up would happen but it never did. I want to escalate this situation to a manager. Waiting for a resolution is unacceptable, and I will not hesitate to switch providers if the problem isn't sorted soon.",Medium,High,Poor Network Coverage,Passive-aggressive / sarcastic,Parent managing a family plan,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
3466,"I've spent nearly half an hour on hold just to be told that my issues with long call-waiting times are 'a known problem.' What a ridiculous excuse! I’m an elderly customer who’s not great with technology, and this is just too frustrating. I’ve already contacted your team about this multiple times, and today I spoke to Lucy, who seemed completely uninterested in helping. I need real support, or I’ll have to escalate this further.",Medium,High,Long Call-Waiting Times,Narrative / storytelling,"Elderly customer, not confident with technology",Repeat complainer — has contacted 3-5 times over weeks
3467,"This is the first time I’ve reached out regarding my recent bill. I got a bill for a service I cancelled last month, and it’s just not acceptable! I've had a long and loyal relationship with your company, so you can imagine how furious I am to be slapped with this charge. Please fix this immediately or I will not hesitate to seek legal advice. Absolutely no way am I letting this slide.",Medium,High,Billing After Cancellation,Terse and minimal,Long-term loyal customer (10+ years),First contact — raising the issue for the first time
3468,"As a tight-budget student, I find it infuriating that I’m now facing a price increase mid-contract without any notice! I switched providers specifically because of the competitive pricing, and now this? I only contacted you recently, but if I don’t get a clear answer as to why this is happening, I will be forced to look at other options. This is not the trust I expect from a service I’ve just started using.",Medium,High,3G Shutdown Impact,Verbose and detailed,Student on a tight budget,First contact — raising the issue for the first time
3469,"I’m completely baffled as to how your company could possibly think it’s acceptable to adjust my pricing without my consent! I had been promised my plan would be locked in when I signed up, then I noticed an auto-renewal charge that I never agreed to. I demand to speak with someone about this, and I will contact the ombudsman if the situation stays unresolved. This is outrageous!",Medium,High,Mid-Contract Price Increase,Casual conversational,Recently switched from another provider,First contact — raising the issue for the first time
3470,"I wish I could say I was surprised at the poor network coverage I’ve been dealing with for weeks now, but honestly, I’m just beyond frustrated! I reported this issue twice already, and spoke to James last week, who assured me things would be expedited. Clearly, that hasn’t happened! I'm a loyal customer of over a decade and I deserve better. If this continues, I’ll be looking for my services elsewhere.",Medium,High,Unfulfilled Fix Promises,Casual conversational,Student on a tight budget,Second attempt — raised once before with no resolution
3471,"This 3G shutdown is affecting my life more than I can articulate! I was able to use my phone for calls and texts just fine, now I’m stuck without proper service! I’m a student, so this interruption isn’t just inconvenient, it’s detrimental to my ongoing education. I reached out to your support but received nothing in return. I demand real action as it’s unacceptable to leave customers without notice!",Medium,High,Auto-Renewal Without Consent,Terse and minimal,Vulnerable customer with disability or health condition,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
3472,"I can't stay silent any longer! I made a complaint about my broadband fix not being resolved, and nothing has changed! I’m starting to lose hope after speaking to your representatives multiple times. I reached out two weeks ago and have yet to see a technician come — it’s draining my patience. I deserve a working internet, and if I don't see change soon, I’ll be escalating this all the way to Ofcom!",Medium,High,Loyalty Penalty,Terse and minimal,Parent managing a family plan,Repeat complainer — has contacted 3-5 times over weeks
3473,"Why is it so hard for your company to address this loyalty penalty? I’ve been a customer for years, and every time I complain, I feel like I’m hitting a brick wall! I contacted support about a week ago without any follow-up, which is just baffling to me. I demand clearer explanations, or I will be forced to take my business elsewhere. It’s an utter disgrace to treat loyal customers this way!",Medium,High,Fraud & Scams,Verbose and detailed,Parent managing a family plan,Repeat complainer — has contacted 3-5 times over weeks
3474,"Incredible. I’ve already spoken to your team about potential fraud on my account, and I’m now facing yet another unsatisfactory response weeks later! I’m managing my family plan on a tight budget, and I can’t believe this keeps happening. I feel utterly let down by your company. I’ll escalate this to Ofcom if I don’t hear back with a resolution soon — enough is enough!",Medium,High,Poor Network Coverage,Verbose and detailed,Long-term loyal customer (10+ years),Second attempt — raised once before with no resolution
3475,"I cannot believe this! I recently discovered that my monthly payment has gone up mid-contract, which is absolutely appalling considering I’m a student and on a tight budget. I NEVER agreed to this, and I’m shocked that such practices are allowed. When I signed up, everything was set in stone, or so I thought. I spoke with a representative last week, a man named David, and he only brushed off my concerns, saying it’s a standard increase. I've been with you for two years, and this feels like a slap in the face. I deserve better than this! Please sort this out before I have to explore my options with another provider.",Medium,High,Mid-Contract Price Increase,Verbose and detailed,Student on a tight budget,First contact — raising the issue for the first time
3476,"Honestly, I'm losing my patience with your service. I've called three times in the last month about the same issue, and I'm not getting anywhere! Each time, I get a different answer and another promise to look into it. I spoke to Sarah last Friday who assured me it would be resolved, but here I am, still stuck with half the features I’m paying for! It's beyond ridiculous, and if I don’t get a proper resolution soon, I’ll have to consider escalating this. This shouldn’t be so hard!",Medium,High,Poor Complaint Handling,Casual conversational,"Young professional, tech-savvy, impatient",Repeat complainer — has contacted 3-5 times over weeks
3477,"I am absolutely livid about the faulty phone you issued me. I’ve contacted your customer service at least four times in the past few weeks, and every time I'm met with the same empty promises. I spoke with Alex last Saturday, and after testing it again, he said he’d send me a replacement, but nothing has arrived. I’m at my wit’s end with this whole process! How can I effectively work when I can’t rely on my phone to function?! This has impacted my work, and I feel treated like a clown. I demand action immediately!",Medium,High,Faulty Hardware / Handset Issues,Verbose and detailed,"Young professional, tech-savvy, impatient",Repeat complainer — has contacted 3-5 times over weeks
3478,"Well, here we go again! My phone is still malfunctioning, and clearly nothing has changed since my last complaint! I reported the fault last month, and all I’ve received is an absolute shambles of a customer service experience. Each representative just pushes this matter off to the next one, and I’m left in the dark. Do you honestly think it makes sense that I’m stuck with this broken phone and still have to service a contract? I might as well be using a brick! It’s disgraceful that there hasn’t been any resolution, and frankly, I shouldn’t even have to ask twice.",Medium,High,Faulty Hardware / Handset Issues,Passive-aggressive / sarcastic,Student on a tight budget,Second attempt — raised once before with no resolution
3479,"I’m writing with a very serious concern that shouldn’t have taken this long to address. As a small business owner, I rely on your service for my livelihood, and I’m appalled to discover I’m being penalised for my loyalty with worse rates than new customers. This is beyond frustrating! I discussed this with Angela on Thursday, and she said there’s nothing they can do, which is honestly not an acceptable answer. I’ve been a loyal customer for over five years, and I’m ready to take my business elsewhere if this isn’t rectified immediately!",Medium,High,Loyalty Penalty,Verbose and detailed,Small business owner relying on service for livelihood,First contact — raising the issue for the first time
3480,"Really? I can’t believe I’m writing this again! I sent my last complaint regarding this ridiculous mid-contract price hike three weeks ago, and no one has even responded. I’ve been with you for over ten years and never had an issue until now. This is the second time I’m mentioning it – it’s absolutely unacceptable. I didn’t sign up for this nonsense. I feel completely misled and betrayed, and if I don’t hear back soon, I will not hesitate to take my concerns higher up the ladder or even to Ofcom. Get this sorted out now!",Medium,High,Mid-Contract Price Increase,Terse and minimal,Long-term loyal customer (10+ years),Second attempt — raised once before with no resolution
3481,"This is absolutely outrageous! I discovered last month that my contract auto-renewed without my consent, and I called your support multiple times to discuss this. I spoke to a different agent each call, and not one of them offered a solution. Charlotte was the last person I spoke to, and she didn’t even seem to understand my concern. I feel trapped in a contract I didn’t agree to! I’m really desperate to get someone with authority on the phone, because at this point, I want nothing more than to leave your service!",Medium,High,Auto-Renewal Without Consent,Verbose and detailed,"Young professional, tech-savvy, impatient",Repeat complainer — has contacted 3-5 times over weeks
3482,"It’s like trying to pull teeth to get a straight answer from you! I switched from my last provider to enjoy quicker internet, but now, I’m sick of waiting for updates on my number porting. I contacted customer support nearly two weeks ago, and all I hear back is, 'We’re working on it.' Amy in the chat told me there would be updates, yet here I am, left completely in the dark. Can you not understand how infuriating this is for someone who switched to you for better service? This is dragging on far too long. Fix it, please!",Medium,High,Lack of Progress Updates,Narrative / storytelling,Recently switched from another provider,Second attempt — raised once before with no resolution
3483,"I’ve reached the limit of my patience with your automated support! It’s completely useless. I’ve tried desperately to discuss my ongoing issue, but your AI chatbox only worsens my frustration. I can’t talk to someone directly and express how unresolved everything feels! I wrote to you last month, detailing my entire complaint, and even escalated it, but still no one appears to care or take any meaningful action. I’m honestly at my wit’s end! If I can’t get assistance soon, I swear I will escalate this to Ofcom, because I’m not being treated fairly.",Medium,High,Ineffective AI / Chatbot Support,Verbose and detailed,Student on a tight budget,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
3484,"I was just informed that the 3G network is shutting down, and my device is now practically unusable! I’ve complained about this issue for almost a month now, talking to at least four different agents who couldn't clarify anything for me. Max told me I should upgrade, but that’s not an option for me right now! My work relies on a functioning phone! I’m absolutely furious you failed to notify me until now, and it’s utterly disgraceful. I expect a solution fast, or you’ll lose a customer who was once impressed with your service.",Medium,High,3G Shutdown Impact,Narrative / storytelling,"Young professional, tech-savvy, impatient",Repeat complainer — has contacted 3-5 times over weeks
3485,"Look, I’m on a family plan, and my children depend on consistent broadband access for school. The speeds I’m getting are nothing short of pathetic. I literally can’t run a few devices simultaneously without complete chaos. I contacted support last week, and after literally waiting over 30 minutes, I spoke to Liam who promised to escalate my complaint. Here I am a week later with zero updates! What’s the point of the support line if no one seems to care? This is crucial for our family and the level of service provided is disgraceful. I can't put up with this any longer!",Medium,High,Difficulty Cancelling Service,Terse and minimal,Long-term loyal customer (10+ years),Second attempt — raised once before with no resolution
3486,"I can’t believe how terrible this service is! I was wrongly sold a deal due to your agent's mistake, and it’s impacting me greatly. I went in looking for one offer and left with something entirely different! I tried to explain this to every single person I’ve contacted, but everyone acts clueless. I had a conversation with Jamie last week, and he seemed nice but did nothing to rectify the situation. This is my first complaint, and I thought I’d have better luck. If I can’t get this sorted out soon, I’ll have no choice but to escalate this issue. It’s unacceptable!",Medium,High,Wrong Sale Due to Agent Mistake,Narrative / storytelling,"Young professional, tech-savvy, impatient",First contact — raising the issue for the first time
3487,"This whole situation is nothing but a joke. I’m an elderly customer, and I’m seriously struggling with technology, so when I reached out for help, I expected better assistance, not the lacklustre support I received. I already contacted you last month about my issue, and I was told someone would be in touch, yet I hear crickets! It’s so disturbing how little support is available to me. You should treat your elderly customers with more respect and compassion. It’s frankly disgraceful the way I’ve been handled. I’ll be escalating this without any further notice if this isn’t addressed immediately!",Medium,High,Poor Network Coverage,Legalistic / rights-aware,Long-term loyal customer (10+ years),"Escalation — has exhausted normal channels, requesting manager/ombudsman"
3488,"The lack of communication from your end is honestly maddening. I reached out a while back about my poor network coverage, but I have yet to get any helpful feedback from your team. After multiple attempts, I’m getting nowhere! I’m a ten-year customer who's clearly being taken for granted, and I’m absolutely furious! I spoke to some woman named Clare last week who said she’d escalate my complaint, but here I am, still in the same position! If someone doesn’t get back to me with a viable solution soon, I’ll have no choice but to take this up with Ofcom. You’re really failing at customer service here!",Medium,High,Poor Complaint Handling,Passive-aggressive / sarcastic,"Elderly customer, not confident with technology","Escalation — has exhausted normal channels, requesting manager/ombudsman"
3489,"Once again, I find myself writing to express my frustration! I raised a complaint regarding my slow broadband speed a month ago, and all I’ve received are empty reassurances. I spoke to Hannah last week and was promised an upgrade, but nothing has actually happened. My children’s schoolwork depends on this, and the frustration of dealing with such slow connections is unbearable! This is NOT what we signed up for. If this continues, I am ready to take my complaint higher – I am not going to put up with such poor service!",Medium,High,Slow Broadband Speeds,Verbose and detailed,Parent managing a family plan,Second attempt — raised once before with no resolution
3490,"I cannot BELIEVE the appalling lack of service I've experienced with your company. After exhausting every possible channel, I am left no option but to escalate this to a manager or ombudsman. I’ve been trying to resolve issues with my family plan for nearly a month! I spoke to Karen on October 1, and she promised me a call-back that NEVER happened. Do you seriously think I’m just supposed to sit here while my kids endure this nonsense? Disgraceful.",Medium,High,Poor Complaint Handling,Casual conversational,Parent managing a family plan,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
3491,"I am absolutely livid right now. I raised a cancellation request last month, and here I am trying to cancel AGAIN because your system is a MESS! I’m a student and simply cannot afford this. If you don’t resolve this immediately, I’ll be taking my complaint to Ofcom. It's the principle of the matter! I expect to hear back today to confirm my cancellation!",Medium,High,Difficulty Cancelling Service,Legalistic / rights-aware,Student on a tight budget,Second attempt — raised once before with no resolution
3492,"I can’t stress enough how URGENT this is! I’m disabled and have been dealing with these auto-renewal issues for months! Your team's handling has been nothing short of disastrous. I reached out on September 20 and talked to Marcus, who assured me the issue would be fixed, and yet NOTHING has changed. I want to speak to someone higher up because this has gone on long enough. I’m exhausted from this constant back-and-forth!",Medium,High,Auto-Renewal Without Consent,Verbose and detailed,Vulnerable customer with disability or health condition,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
3493,"I must express my immense frustration over the unstable network coverage I’ve faced since switching from another provider on October 5. How can I possibly trust your service? I’ve called three times already and each representative acted as if I was speaking to a wall. I spoke to Jennifer last week and was told nothing can be done. So, we’re just expected to suffer poor service? Unbelievable!",Medium,High,Poor Network Coverage,Verbose and detailed,Recently switched from another provider,Second attempt — raised once before with no resolution
3494,"Unbelievably, I've received a renewal notice despite NEVER consenting to this. I’ve reached out multiple times, including two conversations with Emily in the billing department. Once was clearly not enough for you to grasp the issue! I’m flabbergasted by your disregard. This isn’t just poor service—it’s utterly dishonest! I’m prepared to escalate it to Ofcom because this is just too much to handle!",Medium,High,Auto-Renewal Without Consent,Passive-aggressive / sarcastic,Vulnerable customer with disability or health condition,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
3495,"This constant run-around regarding these early termination fees is completely out of hand! I can’t believe I have had to contact your support team at least five times over the last month and still have no resolution! I am disabled, and this is making things unbelievably stressful for me! If you think I’m going to keep paying these fees when I’ve already tried to resolve this, you are mistaken.",Medium,High,High Early Termination Fees,Terse and minimal,Vulnerable customer with disability or health condition,Repeat complainer — has contacted 3-5 times over weeks
3496,"I have been a loyal customer for 12 years! How can you not fulfil promises made to me? I was assured by Jessica on October 10 that my issue would be addressed, and it never was! I’m at my wit’s end. I’m struggling with daily interruptions to my service and it’s causing me serious inconvenience. I’ve had enough. If you can’t take care of a long-serving customer like me, why should I stick around?",Medium,High,Unfulfilled Fix Promises,Legalistic / rights-aware,Long-term loyal customer (10+ years),Second attempt — raised once before with no resolution
3497,"I am appalled by my recent experience with your customer support. After speaking to Jamie last week about a suspected scam, I still haven’t seen any follow-up! I even called AGAIN just yesterday to raise the alarm, and it seems no one cares. How can I trust my long-standing loyalty to your company when I’m literally vulnerable to fraud? This is ABSOLUTELY unacceptable!",Medium,High,Ineffective AI / Chatbot Support,Narrative / storytelling,Student on a tight budget,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
3498,"My internet connection has been agonisingly slow for weeks! Every time I try to get help, I get pushed around and nothing resolves. I have a disability that makes online tasks crucial for me. I reached out on October 7 to Craig and was basically told there’s nothing you can do. This is not just an inconvenience; it’s affecting my well-being! I need this fixed NOW. Enough is enough!",Medium,High,Fraud & Scams,Casual conversational,Long-term loyal customer (10+ years),Second attempt — raised once before with no resolution
3499,"The waiting times are absolutely atrocious! I've wasted so much time on hold over the past month, it’s beyond ridiculous. I'm an elderly customer, and though I have tried to be patient, your service has been completely unacceptable! After waiting an hour on October 12 for a call-back that never happened, I am furious! It’s like I don’t matter to your company at all. If this doesn't change, I will take my complaint higher.",Medium,High,Slow Broadband Speeds,Narrative / storytelling,Vulnerable customer with disability or health condition,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
3500,"I can’t believe you’ve overcharged me AGAIN! This is the second time I’m reaching out about this! I sent an email to customer service about the incorrect billing on my last statement, and shockingly, no one even bothered to respond! How can you treat your customers this poorly? It feels like a scam! I only have a tight budget as a student, and I REFUSE to let this slide any longer!",Medium,High,Long Call-Waiting Times,Verbose and detailed,"Elderly customer, not confident with technology",Repeat complainer — has contacted 3-5 times over weeks
3501,"It’s just too much. After receiving my faulty handset two weeks ago, I was told by your support team that a replacement would arrive ASAP. But guess what? Nothing! Not a single sign of my replacement! I really thought you would take care of me, especially as I'm on a tight budget with terrible health conditions. I’m beyond angry! If I don't see immediate action, I’ll escalate this to your ombudsman.",Medium,High,Overcharging & Incorrect Billing,Passive-aggressive / sarcastic,Student on a tight budget,Second attempt — raised once before with no resolution
3502,"After my disastrous experience with my broken phone, I’m completely disgusted! How can your support team not understand such a simple issue? I called last week, spoke to Liam, and nothing has changed! I can't even use my phone for work, and it's my lifeline as a small business owner. This is not just an inconvenience; it's affecting my livelihood! I demand immediate action.",Medium,High,Faulty Hardware / Handset Issues,Passive-aggressive / sarcastic,Student on a tight budget,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
3503,"I can't believe I'm still seeing charges for a service I cancelled over a month ago! I've called multiple times since my cancellation on September 25. Each time I have been assured that the charges would stop, yet here they are—what a joke! This is utterly ridiculous! If I don't receive an immediate resolution, I’m considering legal action. You've turned a simple cancellation into a nightmare!",Medium,High,Faulty Hardware / Handset Issues,Passive-aggressive / sarcastic,Small business owner relying on service for livelihood,First contact — raising the issue for the first time
3504,"This might just be the last straw for me. I am being billed for services that I cancelled repeatedly! I've been in touch with customer care three times since my cancellation on October 3. I’m beyond exhausted! I am a disability advocate and can't afford events like these. If there is no resolution soon, I’ll gladly escalate to Ofcom, and believe me, I will.",Medium,High,Billing After Cancellation,Passive-aggressive / sarcastic,Vulnerable customer with disability or health condition,Repeat complainer — has contacted 3-5 times over weeks
3505,"I can't believe how you treat long-standing customers! I've been with you for over a decade, paying my bills on time and expecting some consideration. It's been weeks since I raised my concern about not receiving any progress updates on my recent issues. I feel like I'm just a number to you! When I finally reach out, it feels like I'm talking to a wall. Is there anyone on your team who actually cares? I need answers, and I need them NOW!",Medium,High,Lack of Progress Updates,Passive-aggressive / sarcastic,Long-term loyal customer (10+ years),First contact — raising the issue for the first time
3506,"I'm absolutely furious! I called you MULTIPLE times over the last month about the atrocious network coverage in my area, and nothing has improved. Every time I try to use my phone, I get dropped calls and slow data. You say the coverage is fine, but for me, it's been a nightmare since I switched! I can't believe you expect your customers to put up with this. If it doesn't get sorted soon, I'll have to look elsewhere. I've had it!",Medium,High,Poor Network Coverage,Verbose and detailed,"Elderly customer, not confident with technology",Repeat complainer — has contacted 3-5 times over weeks
3507,"Hey there, I just wanted to express how disappointed I am with the poor network coverage since switching to your service. I thought I’d get better service, but here I am, struggling to get a decent signal to even text! This is literally my FIRST complaint, and honestly, I feel a bit let down. Can someone please sort this out? It’s not a good look, and I’m already regretting my decision!",Medium,High,Poor Network Coverage,Casual conversational,Recently switched from another provider,First contact — raising the issue for the first time
3508,"This is absolutely ridiculous! I've been waiting a week for help with my phone, which is practically a paperweight at this point. I tried calling support and spoke to a guy named Adam last Thursday. He promised a follow-up, but all I’ve received is silence! I know I’m tech-savvy, but can I get a manager on this? I’m SO done with all this dilly-dallying. Get it sorted or I’m heading to the ombudsman!",Medium,High,Faulty Hardware / Handset Issues,Passive-aggressive / sarcastic,"Young professional, tech-savvy, impatient","Escalation — has exhausted normal channels, requesting manager/ombudsman"
3509,"I am seriously angry right now! I’ve just discovered that you renewed my contract WITHOUT my consent. I raised this issue before, and I expected a resolution, but here we are! You've allowed this to happen again, which is just disgraceful! I feel cheated and it's appalling how you treat your customers. I’d like to know how to get it cancelled before I escalate this to Ofcom. Don’t ignore this!",Medium,High,Auto-Renewal Without Consent,Narrative / storytelling,Recently switched from another provider,Second attempt — raised once before with no resolution
3510,"I am livid about the erroneous charges on my latest bill! As a small business owner, every penny counts and this financial mess is stressing me out. I called to sort this out, and the representative didn’t take me seriously at all! I’m reaching out now, for the first time, to demand answers on the transaction I did not authorise. Fix this or I’ll have no choice but to escalate it legally!",Medium,High,Overcharging & Incorrect Billing,Legalistic / rights-aware,Small business owner relying on service for livelihood,First contact — raising the issue for the first time
3511,"Wow, thanks for the 20-minute wait and then hanging up on me! I called today to ask for help, but I just got made to feel more frustrated than before. Is this how you treat your customers? This is my first time reaching out, and the lack of help is disgraceful. If I wanted to be ignored, I’d work with a chatbot! I need a real person to sort my issues, and I need it soon!",Medium,High,Long Call-Waiting Times,Passive-aggressive / sarcastic,"Young professional, tech-savvy, impatient",First contact — raising the issue for the first time
3512,"I’m sorry, but this is getting ridiculous. I came to you for support as a student on a budget, and now no one can provide any updates on my issue! I reached out last week, and after that, silence. I feel utterly abandoned! I’ve already sent two follow-ups and all I get are generic responses that don’t help me. If this continues, I don't know what I'll do, but I’m ready for a manager to address my concerns.",Medium,High,Lack of Progress Updates,Casual conversational,Student on a tight budget,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
3513,"Listen, I’m a parent managing a family plan, and this network coverage is ruining my ability to stay connected. I know I’ve raised this before—probably more times than I can count—but honestly, I’m at my wits' end! The 3G shutdown is really impacting me, and I spoke to Sarah last week. What’s going on? I need clarity; my family relies on this, and if your service isn’t up to par, I’ll have to find another provider!",Medium,High,3G Shutdown Impact,Verbose and detailed,Parent managing a family plan,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
3514,"I can’t even believe this... I just opened the bill and saw a price increase in the middle of my contract. This is not right! I am an elderly customer and I don’t fully understand how this is allowed. This is also the first time I am raising this issue and frankly, I’m disgusted! I expect you to honour our original agreement or I’ll complain to Ofcom. Get back to me soon!",Medium,High,Mid-Contract Price Increase,Legalistic / rights-aware,"Elderly customer, not confident with technology",First contact — raising the issue for the first time
3515,"I’m really annoyed with the repeated issues around billing! I’ve contacted you about overcharging multiple times over the last few weeks, and NOTHING has changed. I honestly feel like I’m talking to a brick wall! The representatives don’t seem to understand how important this is for me. I just want to be charged accurately for my services! If this is not resolved soon, I’ll be forced to leave your service, I can’t take it anymore!",Medium,High,Overcharging & Incorrect Billing,Casual conversational,Recently switched from another provider,Repeat complainer — has contacted 3-5 times over weeks
3516,"It’s unbelievable that I have to deal with this! I called about the erroneous charges on my latest bill and got very little help. I spoke to a person named Lucy last week who dismissed my concerns without looking at my account properly! This is the first time I am raising this, and I feel so frustrated. I shouldn’t have to fight for accurate billing as a paying customer! If you don’t sort this out promptly, I’ll escalate the issue!",Medium,High,Overcharging & Incorrect Billing,Passive-aggressive / sarcastic,Vulnerable customer with disability or health condition,First contact — raising the issue for the first time
3517,"Why is it impossible to get human assistance with your AI support? I've reached out at least three times, and they just keep sending me in circles with no real help! I’m a student on a tight budget and I can’t afford any more delays. I’m turning to you again out of desperation. This isn’t right! I demand real assistance, or I will escalate this matter immediately. I’m done with this nonsense!",Medium,High,Ineffective AI / Chatbot Support,Casual conversational,Student on a tight budget,Repeat complainer — has contacted 3-5 times over weeks
3518,"I'm absolutely fed up with primary service cancellation! I have a disability and need straightforward communication, but your team is impossible to deal with! I’ve been trying to cancel for weeks, and I’ve already spoken to a manager before, without success. Why is it so hard? Get this done ASAP or I’ll escalate it to Ofcom. I’m not wasting more time and energy on this if it can be resolved right now!",Medium,High,Difficulty Cancelling Service,Terse and minimal,Vulnerable customer with disability or health condition,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
3519,"I had a terrible experience recently with the fraud alert! I’ve reported suspicious activity on my account multiple times over the last few weeks, and I still have not heard back! It is common sense to take such concerns seriously. I’m managing my finances tightly as a student and cannot afford to have funds mysteriously vanish! This is my second time complaining and I expect a swift resolution before I take further action.",Medium,High,Fraud & Scams,Casual conversational,Student on a tight budget,Repeat complainer — has contacted 3-5 times over weeks
3520,"I'm absolutely livid! I've raised this loyalty penalty issue at least five times now. Each time I've spoken to someone different, and nobody has sorted it out. Every month, I’m losing money because of this! How is it fair that I'm being punished for remaining a loyal customer? This is disgraceful!",Medium,High,Loyalty Penalty,Terse and minimal,"Young professional, tech-savvy, impatient",Repeat complainer — has contacted 3-5 times over weeks
3521,"This is my second complaint about my internet speed. I've had to wait a full week for a response and still no resolution! My speed has been crawling at 2 Mbps, and I can barely send an email. With my disability, I need reliable service to stay connected. Honestly, I just feel hopeless with this situation!",Medium,High,Slow Broadband Speeds,Terse and minimal,Vulnerable customer with disability or health condition,Second attempt — raised once before with no resolution
3522,"I can’t believe how badly I was sold the wrong plan. I only signed up for this because your agent assured me it would fit my needs. I’m a student on a tight budget, and now I’m stuck with a package I can’t afford! I called before and got nowhere. This is just ridiculous.",Medium,High,Wrong Sale Due to Agent Mistake,Casual conversational,Student on a tight budget,Second attempt — raised once before with no resolution
3523,"I can’t take this anymore! I keep calling, and the wait times are outrageous! After all these attempts over the past few weeks, I’m still without proper service! How hard can it be to get through to someone? This has become a full-time job just trying to speak to a representative! Unacceptable!",Medium,High,Long Call-Waiting Times,Terse and minimal,Recently switched from another provider,Repeat complainer — has contacted 3-5 times over weeks
3524,"I thought switching providers would be better, but I was sold a plan that doesn't even match my needs! I raised this issue once before, and I'm horrified that I'm still without resolution. I just want this fixed or I’m taking my business elsewhere! Your agents need to up their game!",Medium,High,Wrong Sale Due to Agent Mistake,Terse and minimal,Recently switched from another provider,Second attempt — raised once before with no resolution
3525,"Why are you charging me such high early termination fees when I can’t even receive service? I’ve already called about this, and all I’ve heard are excuses. I’m old and not good with technology, but this demand feels like a hefty punch to my wallet! I want a manager to sort this out immediately!",Medium,High,High Early Termination Fees,Terse and minimal,"Elderly customer, not confident with technology",Second attempt — raised once before with no resolution
3526,"I run a small business, and I need my phone service to function properly! Every month, I see overcharges and incorrect billing, and I've had it! I’ve raised this multiple times and explained how it hurts my business! How can you fix this sooner? This cannot keep happening when I rely on you!",Medium,High,Overcharging & Incorrect Billing,Narrative / storytelling,Small business owner relying on service for livelihood,Repeat complainer — has contacted 3-5 times over weeks
3527,"This overcharging is absolutely unacceptable! As an elderly customer, I feel absolutely targeted by these unfair practices. I've contacted you countless times, and it’s like talking to a brick wall! I deserve better than this; sort it out or I will take my complaint to Ofcom!",Medium,High,Overcharging & Incorrect Billing,Legalistic / rights-aware,"Elderly customer, not confident with technology",Repeat complainer — has contacted 3-5 times over weeks
3528,"This poor network coverage is beyond frustrating! After being a loyal customer for over ten years, I can’t believe I’m getting such poor service. I can barely get a signal! I’m paying for something I’m not receiving. I expect a response and a solution ASAP, or I’m done!",Medium,High,Poor Network Coverage,Passive-aggressive / sarcastic,Long-term loyal customer (10+ years),First contact — raising the issue for the first time
3529,"I oversee a small business, and the way your company has handled the 3G shutdown has been appalling! I've exhausted all normal channels, yet I’m still left without clear answers! I need to talk to a manager or an ombudsman ASAP before I take serious action against you!",Medium,High,3G Shutdown Impact,Legalistic / rights-aware,Small business owner relying on service for livelihood,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
3530,"I'm raising this complaint again because your agent messed up the sale! I’m in sensitive circumstances, and this doesn’t just inconvenience me; it compounds the stress I’m already feeling with my health condition. I demanded to speak with a manager after my initial call but got nowhere. It’s all been a waste of my time!",Medium,High,Wrong Sale Due to Agent Mistake,Narrative / storytelling,Vulnerable customer with disability or health condition,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
3531,"I just want to cancel my service, but it feels like I’m fighting a losing battle. Every time I call, I'm met with insistent staff, making it so difficult! I’m done with this hassle. You’ve left me no choice but to escalate to higher authorities if this isn’t sorted immediately.",Medium,High,Difficulty Cancelling Service,Legalistic / rights-aware,Parent managing a family plan,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
3532,"This is my second time raising the issue of your long call-waiting times. I budget my money carefully as a student, and this has wasted hours of my life! I called last week too, but no resolution! If I can't connect without feeling like I’m in limbo, I’ll go elsewhere for my service! Sort it out!",Medium,High,Long Call-Waiting Times,Legalistic / rights-aware,Student on a tight budget,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
3533,"Honestly, the wait times while trying to contact you have been nothing short of disgraceful! I shouldn't have to keep chasing for answers! My previous call didn’t yield any solutions at all, just more frustration. I’m on a tight budget as a student, and I feel so let down. Enough is enough!",Medium,High,Long Call-Waiting Times,Passive-aggressive / sarcastic,Student on a tight budget,Second attempt — raised once before with no resolution
